Title,Author,Time,News Content
"Flood of Oil Is Coming, Complicating Efforts to Fight Global Warming",Clifford Krauss,2019-11-03T23:37:17Z,"New supplies from Brazil, Canada, Guyana and Norway may add to a glut, posing a threat to producers in Saudi Arabia, Russia and the United States."
"Kids ignore Montreal mayor, brave the rain to go out for Halloween - Montreal Gazette",,2019-11-01T02:21:08Z,"Kids ignore Montreal mayor, brave the rain to go out for Halloween Montreal Gazette Costumed kids still hit the streets even as some Quebec towns postpone Halloween CBC.ca #halloweengate: Montreal Mayor fends off critics who say she shouldn't have postponed H…"
"Factbox: How TikTok, caught in U.S. regulatory crossfire, rose to global video stardom",Reuters Editorial,2019-11-04T08:33:03Z,"Short video-sharing app TikTok has become the latest Chinese firm caught in U.S. regulatory crossfire, with Washington launching a national security review of its $1 billion acquisition of U.S. social media app Musical.ly."
‘Avengers: Endgame’ adelanta su estreno en Disney+,Luis Miranda,2019-11-06T18:05:27Z,"Disney realizó un cambio importante en la fecha de estreno de 'Avengers: Endgame' en su servicio de video en streaming para asegurar un lanzamiento exitoso. Disney prepara la artillería para el lanzamiento de su nuevo servicio de video en streaming, y para as…"
Cannabis Watch: Back to Green: Cantor Fitzgerald says Canadian cannabis stocks have hit a bottom,Ciara Linnane,2019-11-05T19:29:01Z,"After a bruising summer of selling, has the Canadian cannabis sector finally bottomed out? Cantor Fitzgerald says it has."
'It's finally a reality' - Ireland achieve Olympic dream,,2019-11-04T17:19:20Z,Anna O'Flanagan says that Ireland are not just going to the Olympics to take part after securing qualification in their play-off against Canada on penalties.
Avengers: Endgame Coming To Disney Plus Sooner Than You Think,Mat Elfring,2019-11-06T18:09:00Z,"Disney+ is less than a week away from debuting, and there are a ton of movies and TV shows to watch on Day One. One of this year's biggest Marvel movies, Avengers: Endgame, originally wasn't going to hit the new streaming service until December, but that's al…"
"Elizabeth May is no longer the Green leader, but she says she's 'not going anywhere' - CBC.ca",,2019-11-04T22:56:00Z,"Elizabeth May is no longer the Green leader, but she says she's 'not going anywhere' CBC.ca Elizabeth May steps down as leader of Green Party Global News What you need to know about Jo-Ann Roberts, the Green Party's interim leader CTV News Elizabeth May calls…"
Yet More Evidence That Neanderthal Bling Included Eagle Talons,George Dvorsky,2019-11-01T18:00:00Z,"New fossil evidence suggests the Neanderthal practice of collecting eagle talons, which were likely worn as jewelry or used to create powerful symbols, was more extensive than previously thought. Remarkably, the dating of these artifacts suggests modern human…"
Jason Kenney's budget cuts are bad news for Alberta's tech sector - The Globe and Mail,,2019-11-01T23:55:23Z,Jason Kenney's budget cuts are bad news for Alberta's tech sector The Globe and Mail A brief explainer of the alienated West: where it comes from and how it will respond National Post Opinion: Take a deep breath. Oil and gas fairies aren't coming back Calgary…
Boat stuck above Niagara Falls for more than a century dislodged by severe storms,Harry Cockburn,2019-11-04T09:26:04Z,"An 80-foot long iron-hulled boat which has been rusting above Niagara Falls for 101 years is now at greater risk of going over the enormous waterfall, after a storm on Halloween dislodged the wreck and brought it closer to the edge.The boat is a scow – a type…"
chris collaris architects designs villa with locally-sourced materials amidst meadow in canada,cristina gomez I designboom,2019-11-06T07:45:21Z,"surrounded by seasonal beans fields and woods, the site proved to be the ideal location for the client’s dream villa. The post chris collaris architects designs villa with locally-sourced materials amidst meadow in canada appeared first on designboom | archit…"
"Air-traffic control changes in U.S., Europe may force Ottawa to buy new executive jets - CTV News",Glen McGregor,2019-11-04T03:00:00Z,The federal government could be forced to buy new executive jets to transport the prime minister and other VIPs because of changes to air-traffic control rules in the U.S. and Europe.
NASA probe provides insight on solar system's border with interstellar space - Ottawa Citizen,,2019-11-05T20:09:42Z,WASHINGTON — The journey of NASA’s dauntless Voyager 2 spacecraft through our solar system’s farthest reaches has given scientists new insight into a poorly understood distant fro…
"More than 11,000 scientists declare global climate emergency in signed letter - Global News",Bob Weber,2019-11-05T16:23:45Z,"More than 11,000 scientists declare global climate emergency in signed letter Global News 11,000 scientists sign declaration of climate emergency CBC.ca Thousands of scientists sign open letter declaring Earth is facing a ‘climate emergency’ The Globe and Mai…"
5 Big Surprises That Rocked the Cannabis Industry This Year,newsfeedback@fool.com (David Jagielski),2019-11-01T12:00:00Z,"The past year has been a hectic one for cannabis stocks, particularly in Canada."
"Witness was offered $10M to change testimony, trial of former SNC-Lavalin executive hears - National Post",,2019-11-05T22:28:00Z,"Witness was offered $10M to change testimony, trial of former SNC-Lavalin executive hears National Post SNC-Lavalin: Witness was offered $10M to change testimony, trial hears Montreal Gazette Trial of former SNC-Lavalin exec hears accused’s lawyer offered $10…"
WhistlePig Rye Whiskey’s The Boss Hog 六 Edition: The Samurai Scientist,David Graver,2019-11-01T17:17:26Z,"Vermont's ultra-premium tipple gets finished in Japanese umeshu barrels Inspired by Japanese-American biochemist Takamine Jōkichi, WhistlePig‘s The Boss Hog 六 Edition: The Samurai Scientist finds the award-winning brand’s straight rye whiskey finished in sele…"
"I spent 96 hours on a train from Toronto to Vancouver, and crossing 4 time zones was more disorienting than I ever expected","feedback@businessinsider.com (Rachel Askinasi), Rachel Askinasi",2019-11-06T19:54:00Z,"Ruobing Su/Business Insider I took a train from Toronto to Vancouver and passed through four time zones along the way, which ended up being the most challenging part of the entire experience. The train had no WiFi and very little cell service, so my iPhone co…"
Bruce McCall’s “Down the Hatch”,Françoise Mouly,2019-11-04T10:00:00Z,"Françoise Mouly talks to the artist Bruce McCall about his cover for the November 11, 2019, issue of The New Yorker."
Why Libra Regulations Will Be Good for Cryptocurrencies,Joel Comm,2019-11-04T16:00:53Z,Facebook’s Libra landed with a splash. It’s since drifted into stormy waters. What Mark Zuckerberg might have seen as a simple way for his users to send and receive money online — governments and regulators have taken to a whole new level. Some have seen an e…
What To Add To Your Netflix Canada Watch List When You’re On Mat Leave,"Kathleen Newman-Bremang, written by Kathleen Newman-Bremang",2019-11-05T20:14:25Z,"The image I have of maternity leave is one of me laying on a couch while a cute baby sleeps on my chest and unlimited episodes of Elite or Grey’s Anatomy or WHATEVER I WANT flicker in the background because I have so much time to sleep, play with my child and…"
How to get to Montreal using points and miles,Ethan Steinberg,2019-11-04T23:00:34Z,"As the second-largest city in Canada, Montreal is a major travel hub with nonstop flights arriving from all across North America and as far away as Asia and the Middle East. Whether you’re making a short hop over the border from an East Coast city like New Yo…"
"Meanwhile, in Canada… (30 Photos)",Hendy,2019-11-06T18:00:51Z,November 1st.
Intelligent search platform Coveo raises $227 million at a valuation of over $1 billion,Paul Sawers,2019-11-06T09:27:52Z,"Coveo, a platform that meshes search, analytics, and machine learning to unlock insights contained within big data for businesses, has raised $227 million."
Humans Shipped an Awful Cargo Across the Seas: Cancer,Carl Zimmer,2019-11-06T10:00:15Z,"A cancer afflicting mussels originated off the Pacific coast of Canada, but then crossed into other species in Europe and South America."
A beginner’s guide to visiting Montreal,Melanie Lieberman,2019-11-05T23:00:39Z,It had been more than a decade since I’d last crossed the border into Canada on a high school trip to Quebec. Now I was returning to Montreal without much notice and an entire weekend to fill. I started scouring the internet and messaging every friend and col…
TPG readers’ favorite airport lounges around the world,Kaeli Conforti,2019-11-03T14:00:14Z,"A while back, we asked our TPG Lounge readers to share their favorite airline lounges around the world — and which ones they thought had the best food. Here’s a look at some of our favorite answers. (Some responses have been lightly edited for style and clari…"
Disney+ Announces 'Avengers: Endgame' Will Be Available at Launch,"info@hypebeast.com (HYPEBEAST), HYPEBEAST",2019-11-06T16:32:53Z,"Disney+ will officially arrive later this month, and among Disney's back catalog of available titles, it announced on Twitter this year's Avengers: Endgame will be available at the launch of the service. Although the title was always going to find itself on t…"
"I flew Porter Airlines, one of the best-rated airlines in North America that few people have heard of, and it was one of the best flying experiences I've had",Rachel Askinasi,2019-11-03T14:38:00Z,"On a recent trip from New York to Toronto, I decided to try out the boutique Porter Airlines, which has generated some buzz and been named one of the best in North America. The flight was moderately priced and extremely easy to book. There is no class distinc…"
The first U.S. clinical trial of using an in-brain chip to fight opioid addiction is now underway,Darrell Etherington,2019-11-05T16:29:46Z,"Opioid addiction is easily one of the top widespread healthcare issues facing the U.S., and research indicates we’re nowhere near achieving any kind of significant mitigating solution. But a team of medical researchers working at the West Virginia University …"
How to Protect Your Smart Speaker From a Laser Attack,Brendan Hesse,2019-11-05T22:00:00Z,"I love a good scientific mystery—stuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from…"
"Beer, Here: Merchandising of College Sports Leads to Team-Branded Ales",Billy Witz,2019-11-02T04:20:27Z,"The University of Louisiana at Lafayette and more than 20 universities license their own brands of beer. Those deals seem like no-brainers, but they come as the N.C.A.A. grapples with letting athletes strike their own."
Coda Biotherapeutics is developing a cure for pain,Jonathan Shieber,2019-11-05T14:29:50Z,"If the researchers, executives and investors behind Coda Biotherapeutics have their way, one day soon there really could be a cure for pain. Co-founded by researchers Joseph Glorioso, from the University of Pittsburgh’s microbiology and molecular genetics dep…"
